city,state,house_type,price,year,month,time
Berkeley,CA,1,602653.0,2016,10,2016-10
Mountain View,CA,1,611612.0,2016,10,2016-10
Palo Alto,CA,1,1236538.0,2016,10,2016-10
Foster City,CA,1,689029.0,2016,10,2016-10
San Francisco,CA,1,845792.0,2016,11,2016-11
Berkeley,CA,1,610528.0,2016,11,2016-11
Mountain View,CA,1,611065.0,2016,11,2016-11
Palo Alto,CA,1,1225644.0,2016,11,2016-11
Foster City,CA,1,685593.0,2016,11,2016-11
San Francisco,CA,1,845823.0,2016,12,2016-12
Berkeley,CA,1,616547.0,2016,12,2016-12
Mountain View,CA,1,614709.0,2016,12,2016-12
Palo Alto,CA,1,1226948.0,2016,12,2016-12
Foster City,CA,1,687603.0,2016,12,2016-12
San Francisco,CA,1,843754.0,2017,01,2017-01
Berkeley,CA,1,618709.0,2017,01,2017-01
Mountain View,CA,1,617212.0,2017,01,2017-01
Palo Alto,CA,1,1222674.0,2017,01,2017-01
Foster City,CA,1,689608.0,2017,01,2017-01
San Francisco,CA,1,838595.0,2017,02,2017-02
Berkeley,CA,1,619037.0,2017,02,2017-02
Mountain View,CA,1,623234.0,2017,02,2017-02
Palo Alto,CA,1,1223037.0,2017,02,2017-02
Foster City,CA,1,694806.0,2017,02,2017-02
San Francisco,CA,1,835468.0,2017,03,2017-03
Berkeley,CA,1,624710.0,2017,03,2017-03
Mountain View,CA,1,625115.0,2017,03,2017-03
Palo Alto,CA,1,1225879.0,2017,03,2017-03
Foster City,CA,1,695978.0,2017,03,2017-03
San Francisco,CA,1,837656.0,2017,04,2017-04
Berkeley,CA,1,628798.0,2017,04,2017-04
Mountain View,CA,1,626000.0,2017,04,2017-04
Palo Alto,CA,1,1229897.0,2017,04,2017-04
Foster City,CA,1,690006.0,2017,04,2017-04
San Francisco,CA,1,843437.0,2017,05,2017-05
Berkeley,CA,1,632625.0,2017,05,2017-05
Mountain View,CA,1,625910.0,2017,05,2017-05
Palo Alto,CA,1,1238866.0,2017,05,2017-05
Foster City,CA,1,686593.0,2017,05,2017-05
San Francisco,CA,1,850170.0,2017,06,2017-06
Berkeley,CA,1,638594.0,2017,06,2017-06
Mountain View,CA,1,629260.0,2017,06,2017-06
Palo Alto,CA,1,1242297.0,2017,06,2017-06
Foster City,CA,1,678810.0,2017,06,2017-06
San Francisco,CA,1,856273.0,2017,07,2017-07
Berkeley,CA,1,644238.0,2017,07,2017-07
Mountain View,CA,1,637594.0,2017,07,2017-07
Palo Alto,CA,1,1245931.0,2017,07,2017-07
Foster City,CA,1,683169.0,2017,07,2017-07
San Francisco,CA,1,863764.0,2017,08,2017-08
Berkeley,CA,1,650414.0,2017,08,2017-08
Mountain View,CA,1,647189.0,2017,08,2017-08
Palo Alto,CA,1,1249020.0,2017,08,2017-08
Foster City,CA,1,687522.0,2017,08,2017-08
San Francisco,CA,1,868400.0,2017,09,2017-09
Berkeley,CA,1,654873.0,2017,09,2017-09
Mountain View,CA,1,664887.0,2017,09,2017-09
Palo Alto,CA,1,1266431.0,2017,09,2017-09
Foster City,CA,1,700398.0,2017,09,2017-09
San Francisco,CA,1,870405.0,2017,10,2017-10
Berkeley,CA,1,661419.0,2017,10,2017-10
Mountain View,CA,1,677019.0,2017,10,2017-10
Palo Alto,CA,1,1288854.0,2017,10,2017-10
Foster City,CA,1,713196.0,2017,10,2017-10
San Francisco,CA,1,871809.0,2017,11,2017-11
Berkeley,CA,1,665706.0,2017,11,2017-11
Mountain View,CA,1,688020.0,2017,11,2017-11
Palo Alto,CA,1,1320311.0,2017,11,2017-11
Foster City,CA,1,730019.0,2017,11,2017-11
San Francisco,CA,1,874324.0,2017,12,2017-12
Berkeley,CA,1,672432.0,2017,12,2017-12
Mountain View,CA,1,694528.0,2017,12,2017-12
Palo Alto,CA,1,1357800.0,2017,12,2017-12
Foster City,CA,1,747536.0,2017,12,2017-12
San Francisco,CA,1,876058.0,2018,01,2018-01
Berkeley,CA,1,680880.0,2018,01,2018-01
Mountain View,CA,1,706704.0,2018,01,2018-01
Palo Alto,CA,1,1402016.0,2018,01,2018-01
Foster City,CA,1,761105.0,2018,01,2018-01
San Francisco,CA,1,880059.0,2018,02,2018-02
Berkeley,CA,1,690498.0,2018,02,2018-02
Mountain View,CA,1,720883.0,2018,02,2018-02
Palo Alto,CA,1,1441885.0,2018,02,2018-02
Foster City,CA,1,770355.0,2018,02,2018-02
San Francisco,CA,1,891042.0,2018,03,2018-03
Berkeley,CA,1,697744.0,2018,03,2018-03
Mountain View,CA,1,736316.0,2018,03,2018-03
Palo Alto,CA,1,1469461.0,2018,03,2018-03
Foster City,CA,1,781295.0,2018,03,2018-03
San Francisco,CA,1,901187.0,2018,04,2018-04
Berkeley,CA,1,705787.0,2018,04,2018-04
Mountain View,CA,1,750796.0,2018,04,2018-04
Palo Alto,CA,1,1485482.0,2018,04,2018-04
Foster City,CA,1,799509.0,2018,04,2018-04
San Francisco,CA,1,905448.0,2018,05,2018-05
Berkeley,CA,1,715925.0,2018,05,2018-05
Mountain View,CA,1,768845.0,2018,05,2018-05
Palo Alto,CA,1,1512823.0,2018,05,2018-05
Foster City,CA,1,818480.0,2018,05,2018-05
San Francisco,CA,1,911363.0,2018,06,2018-06
Berkeley,CA,1,719674.0,2018,06,2018-06
Mountain View,CA,1,783065.0,2018,06,2018-06
Palo Alto,CA,1,1550476.0,2018,06,2018-06
Foster City,CA,1,838306.0,2018,06,2018-06
San Francisco,CA,1,917574.0,2018,07,2018-07
Berkeley,CA,1,723875.0,2018,07,2018-07
Mountain View,CA,1,793435.0,2018,07,2018-07
Palo Alto,CA,1,1588568.0,2018,07,2018-07
Foster City,CA,1,853065.0,2018,07,2018-07
San Francisco,CA,1,923660.0,2018,08,2018-08
Berkeley,CA,1,726241.0,2018,08,2018-08
Mountain View,CA,1,794229.0,2018,08,2018-08
Palo Alto,CA,1,1601024.0,2018,08,2018-08
Foster City,CA,1,859012.0,2018,08,2018-08
San Francisco,CA,1,923426.0,2018,09,2018-09
Berkeley,CA,1,727680.0,2018,09,2018-09
Mountain View,CA,1,784682.0,2018,09,2018-09
Palo Alto,CA,1,1593048.0,2018,09,2018-09
Foster City,CA,1,856894.0,2018,09,2018-09
San Francisco,CA,1,922215.0,2018,10,2018-10
Berkeley,CA,1,722342.0,2018,10,2018-10
Mountain View,CA,1,773857.0,2018,10,2018-10
Palo Alto,CA,1,1580685.0,2018,10,2018-10
Foster City,CA,1,850889.0,2018,10,2018-10
San Francisco,CA,1,917761.0,2018,11,2018-11
Berkeley,CA,1,718105.0,2018,11,2018-11
Mountain View,CA,1,764677.0,2018,11,2018-11
Palo Alto,CA,1,1568748.0,2018,11,2018-11
Foster City,CA,1,847450.0,2018,11,2018-11
San Francisco,CA,1,911680.0,2018,12,2018-12
Berkeley,CA,1,713803.0,2018,12,2018-12
Mountain View,CA,1,757339.0,2018,12,2018-12
Palo Alto,CA,1,1549394.0,2018,12,2018-12
Foster City,CA,1,836256.0,2018,12,2018-12
San Francisco,CA,1,912160.0,2019,01,2019-01
Berkeley,CA,1,713786.0,2019,01,2019-01
Mountain View,CA,1,743771.0,2019,01,2019-01
Palo Alto,CA,1,1527787.0,2019,01,2019-01
Foster City,CA,1,822910.0,2019,01,2019-01
San Francisco,CA,1,912753.0,2019,02,2019-02
Berkeley,CA,1,713781.0,2019,02,2019-02
Mountain View,CA,1,726883.0,2019,02,2019-02
Palo Alto,CA,1,1507448.0,2019,02,2019-02
Foster City,CA,1,812485.0,2019,02,2019-02
San Francisco,CA,1,911793.0,2019,03,2019-03
Berkeley,CA,1,713578.0,2019,03,2019-03
Mountain View,CA,1,713162.0,2019,03,2019-03
Palo Alto,CA,1,1494229.0,2019,03,2019-03
Foster City,CA,1,807662.0,2019,03,2019-03
San Francisco,CA,1,907515.0,2019,04,2019-04
Berkeley,CA,1,713413.0,2019,04,2019-04
Mountain View,CA,1,701825.0,2019,04,2019-04
Palo Alto,CA,1,1497497.0,2019,04,2019-04
Foster City,CA,1,809873.0,2019,04,2019-04
San Francisco,CA,1,912360.0,2019,05,2019-05
Berkeley,CA,1,716655.0,2019,05,2019-05
Mountain View,CA,1,690214.0,2019,05,2019-05
Palo Alto,CA,1,1497396.0,2019,05,2019-05
Foster City,CA,1,819692.0,2019,05,2019-05
San Francisco,CA,1,916564.0,2019,06,2019-06
Berkeley,CA,1,727518.0,2019,06,2019-06
Mountain View,CA,1,676601.0,2019,06,2019-06
